Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 00:00:00-04,ND0094,N,18,68.04,0.84%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:05:00-04,ND0094,N,25,69.31,1.13%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:10:00-04,ND0094,N,24,62.88,1.20%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:15:00-04,ND0094,N,27,63.87,1.31%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:20:00-04,ND0094,N,20,63.38,1.02%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:25:00-04,ND0094,N,23,67.18,1.00%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:30:00-04,ND0094,N,29,65.16,1.28%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:35:00-04,ND0094,N,15,65.56,0.75%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:40:00-04,ND0094,N,19,61.03,0.99%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:45:00-04,ND0094,N,20,61.41,0.99%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:50:00-04,ND0094,N,29,61.47,1.56%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 00:55:00-04,ND0094,N,16,62.80,0.94%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:00:00-04,ND0094,N,11,63.41,0.50%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:05:00-04,ND0094,N,16,58.18,1.08%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:10:00-04,ND0094,N,14,55.95,0.83%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:15:00-04,ND0094,N,13,61.26,0.59%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:20:00-04,ND0094,N,7,61.09,0.29%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:25:00-04,ND0094,N,11,56.71,0.87%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:30:00-04,ND0094,N,15,62.82,0.93%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:35:00-04,ND0094,N,10,57.41,0.53%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:40:00-04,ND0094,N,15,64.42,0.62%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
2019-08-01 01:45:00-04,ND0094,N,11,67.07,0.55%,2,ND0094 - I95 AT CARR ROAD,8961.1,2015-05-18 13:04:26-04,
