Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 00:00:00-04,ND0105,N,31,43.89,1.52%,3,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:05:00-04,ND0105,N,14,40.28,1.30%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:10:00-04,ND0105,N,23,44.51,1.05%,3,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:15:00-04,ND0105,N,22,46.77,1.50%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:20:00-04,ND0105,N,24,36.45,1.23%,3,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:25:00-04,ND0105,N,23,42.89,2.06%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:30:00-04,ND0105,N,27,48.83,1.09%,3,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:35:00-04,ND0105,N,19,54.34,1.27%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:40:00-04,ND0105,N,17,38.65,1.35%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:45:00-04,ND0105,N,14,49.77,1.58%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:50:00-04,ND0105,N,22,42.04,1.70%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 00:55:00-04,ND0105,N,18,47.11,1.36%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
2019-08-01 01:00:00-04,ND0105,N,15,40.96,1.86%,2,ND0105 - I95 AT NAAMANS RD,8969.1,2015-05-18 13:04:31-04,
