,Date,Unnamed: 0,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
0,2019-08-01 00:00:00-04,0,ND0137,N,39,76.98,1.03%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
1,2019-08-01 00:05:00-04,1,ND0137,N,36,73.92,1.18%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
2,2019-08-01 00:10:00-04,2,ND0137,N,47,72.75,1.56%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
3,2019-08-01 00:15:00-04,3,ND0137,N,31,74.18,0.79%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
4,2019-08-01 00:20:00-04,4,ND0137,N,39,74.36,1.34%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
5,2019-08-01 00:25:00-04,5,ND0137,N,39,77.12,1.09%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
6,2019-08-01 00:30:00-04,6,ND0137,N,36,72.42,1.16%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
7,2019-08-01 00:35:00-04,7,ND0137,N,29,74.04,0.96%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
8,2019-08-01 00:40:00-04,8,ND0137,N,38,73.94,1.37%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
9,2019-08-01 00:45:00-04,9,ND0137,N,36,73.04,1.23%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
10,2019-08-01 00:50:00-04,10,ND0137,N,43,72.29,1.58%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
11,2019-08-01 00:55:00-04,11,ND0137,N,36,72.84,1.22%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
12,2019-08-01 01:00:00-04,12,ND0137,N,18,71.09,0.73%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
13,2019-08-01 01:05:00-04,13,ND0137,N,32,72.61,1.14%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
14,2019-08-01 01:10:00-04,14,ND0137,N,22,73.46,0.53%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
15,2019-08-01 01:15:00-04,15,ND0137,N,31,76.48,1.00%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
16,2019-08-01 01:20:00-04,16,ND0137,N,23,75.33,0.83%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
17,2019-08-01 01:25:00-04,17,ND0137,N,19,72.54,0.66%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
18,2019-08-01 01:30:00-04,18,ND0137,N,28,73.23,1.02%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
19,2019-08-01 01:35:00-04,19,ND0137,N,31,71.41,1.27%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
20,2019-08-01 01:40:00-04,20,ND0137,N,23,72.89,0.78%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
21,2019-08-01 01:45:00-04,21,ND0137,N,25,72.35,0.92%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
22,2019-08-01 01:50:00-04,22,ND0137,N,21,72.64,0.68%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
23,2019-08-01 01:55:00-04,23,ND0137,N,16,71.99,0.63%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
24,2019-08-01 02:00:00-04,24,ND0137,N,31,73.76,1.24%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
25,2019-08-01 02:05:00-04,25,ND0137,N,25,72.75,0.83%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
26,2019-08-01 02:10:00-04,26,ND0137,N,24,72.53,0.96%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
27,2019-08-01 02:15:00-04,27,ND0137,N,22,74.09,0.71%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
28,2019-08-01 02:20:00-04,28,ND0137,N,18,72.19,0.76%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
29,2019-08-01 02:25:00-04,29,ND0137,N,24,73.35,0.71%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
30,2019-08-01 02:30:00-04,30,ND0137,N,36,73.03,1.44%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
31,2019-08-01 02:35:00-04,31,ND0137,N,32,74.51,1.14%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
32,2019-08-01 02:40:00-04,32,ND0137,N,23,73.47,1.03%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
33,2019-08-01 02:45:00-04,33,ND0137,N,28,74.57,1.15%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
34,2019-08-01 02:50:00-04,34,ND0137,N,23,73.39,0.67%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
35,2019-08-01 02:55:00-04,35,ND0137,N,21,70.84,0.80%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
36,2019-08-01 03:00:00-04,36,ND0137,N,26,77.01,0.90%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
37,2019-08-01 03:05:00-04,37,ND0137,N,25,69.63,1.51%,2,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
38,2019-08-01 03:10:00-04,38,ND0137,N,31,70.65,1.51%,3,ND0137 - I495 AT BELLEVUE RD,8989.1,2015-05-18 13:04:42-04,
