Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 00:00:00-04,ND0139,N,36,75.92,1.01%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:05:00-04,ND0139,N,31,76.44,1.10%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:10:00-04,ND0139,N,49,74.13,1.98%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:15:00-04,ND0139,N,28,74.25,1.19%,2,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:20:00-04,ND0139,N,40,76.88,1.44%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:25:00-04,ND0139,N,29,75.99,1.27%,2,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:30:00-04,ND0139,N,31,73.27,1.11%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:35:00-04,ND0139,N,32,76.39,1.00%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:40:00-04,ND0139,N,35,74.37,1.25%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:45:00-04,ND0139,N,29,72.29,1.86%,2,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:50:00-04,ND0139,N,46,74.21,1.68%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 00:55:00-04,ND0139,N,34,72.41,1.14%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:00:00-04,ND0139,N,25,74.39,1.09%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:05:00-04,ND0139,N,29,72.51,1.11%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:10:00-04,ND0139,N,19,70.48,0.74%,2,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:15:00-04,ND0139,N,31,78.21,1.09%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:20:00-04,ND0139,N,23,74.94,0.91%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:25:00-04,ND0139,N,16,73.74,0.60%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:30:00-04,ND0139,N,27,73.49,1.10%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:35:00-04,ND0139,N,30,73.12,1.31%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:40:00-04,ND0139,N,23,74.35,0.85%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:45:00-04,ND0139,N,23,74.96,0.92%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:50:00-04,ND0139,N,24,73.35,0.78%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 01:55:00-04,ND0139,N,16,69.33,0.69%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:00:00-04,ND0139,N,27,74.43,1.13%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:05:00-04,ND0139,N,23,75.38,0.88%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:10:00-04,ND0139,N,24,74.43,0.99%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:15:00-04,ND0139,N,24,74.78,0.77%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:20:00-04,ND0139,N,17,75.25,0.73%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:25:00-04,ND0139,N,23,74.83,0.76%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:30:00-04,ND0139,N,29,75.05,1.19%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:35:00-04,ND0139,N,32,74.84,1.17%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:40:00-04,ND0139,N,27,73.07,1.31%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:45:00-04,ND0139,N,27,75.62,0.98%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:50:00-04,ND0139,N,21,76.79,0.78%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 02:55:00-04,ND0139,N,21,73.61,1.12%,2,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 03:00:00-04,ND0139,N,23,76.96,0.80%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 03:05:00-04,ND0139,N,25,76.02,1.00%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 03:10:00-04,ND0139,N,33,75.12,1.57%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 03:15:00-04,ND0139,N,23,69.10,1.44%,2,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 03:20:00-04,ND0139,N,25,73.40,0.99%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
2019-08-01 03:25:00-04,ND0139,N,36,74.96,1.79%,3,ND0139 - I495 AND HOLLY OAK DR,8990.1,2015-05-18 13:04:43-04,
