,Timestamp,Volume
0,2017-01-01 00:00:00,67.8
1,2017-01-01 00:05:00,65.7
2,2017-01-01 00:10:00,65.5
3,2017-01-01 00:15:00,63.2
4,2017-01-01 00:20:00,63.5
5,2017-01-01 00:25:00,64.8
6,2017-01-01 00:30:00,65.2
7,2017-01-01 00:35:00,64.2
8,2017-01-01 00:40:00,64.1
9,2017-01-01 00:45:00,65.3
10,2017-01-01 00:50:00,65.2
11,2017-01-01 00:55:00,64.8
12,2017-01-01 01:00:00,65.5
13,2017-01-01 01:05:00,65.6
14,2017-01-01 01:10:00,66.8
15,2017-01-01 01:15:00,66.2
16,2017-01-01 01:20:00,65.2
17,2017-01-01 01:25:00,66.0
18,2017-01-01 01:30:00,66.5
19,2017-01-01 01:35:00,68.3
20,2017-01-01 01:40:00,68.8
21,2017-01-01 01:45:00,68.4
22,2017-01-01 01:50:00,65.2
23,2017-01-01 01:55:00,68.6
24,2017-01-01 02:00:00,66.7
25,2017-01-01 02:05:00,65.5
26,2017-01-01 02:10:00,68.7
27,2017-01-01 02:15:00,68.7
28,2017-01-01 02:20:00,68.8
29,2017-01-01 02:25:00,63.8
30,2017-01-01 02:30:00,68.8
31,2017-01-01 02:35:00,68.8
32,2017-01-01 02:40:00,66.4
33,2017-01-01 02:45:00,68.8
34,2017-01-01 02:50:00,68.8
35,2017-01-01 02:55:00,68.8
36,2017-01-01 03:00:00,68.8
37,2017-01-01 03:05:00,68.8
38,2017-01-01 03:10:00,68.8
39,2017-01-01 03:15:00,65.5
40,2017-01-01 03:20:00,68.8
41,2017-01-01 03:25:00,68.8
42,2017-01-01 03:30:00,68.8
43,2017-01-01 03:35:00,68.8
44,2017-01-01 03:40:00,68.8
45,2017-01-01 03:45:00,65.5
46,2017-01-01 03:50:00,68.7
47,2017-01-01 03:55:00,68.7
48,2017-01-01 04:00:00,68.7
49,2017-01-01 04:05:00,68.7
50,2017-01-01 04:10:00,68.8
51,2017-01-01 04:15:00,68.8
52,2017-01-01 04:20:00,68.8
53,2017-01-01 04:25:00,68.8
54,2017-01-01 04:30:00,68.8
55,2017-01-01 04:35:00,68.8
56,2017-01-01 04:40:00,68.8
57,2017-01-01 04:45:00,64.8
58,2017-01-01 04:50:00,68.8
59,2017-01-01 04:55:00,68.8
60,2017-01-01 05:00:00,64.8
61,2017-01-01 05:05:00,68.8
62,2017-01-01 05:10:00,68.9
63,2017-01-01 05:15:00,68.9
64,2017-01-01 05:20:00,68.9
65,2017-01-01 05:25:00,68.9
66,2017-01-01 05:30:00,67.1
67,2017-01-01 05:35:00,68.9
68,2017-01-01 05:40:00,62.5
69,2017-01-01 05:45:00,66.9
70,2017-01-01 05:50:00,68.8
71,2017-01-01 05:55:00,68.8
72,2017-01-01 06:00:00,68.8
73,2017-01-01 06:05:00,68.8
74,2017-01-01 06:10:00,68.8
75,2017-01-01 06:15:00,68.8
76,2017-01-01 06:20:00,67.5
77,2017-01-01 06:25:00,67.0
78,2017-01-01 06:30:00,67.5
79,2017-01-01 06:35:00,65.4
80,2017-01-01 06:40:00,66.0
81,2017-01-01 06:45:00,67.2
82,2017-01-01 06:50:00,68.6
83,2017-01-01 06:55:00,68.8
84,2017-01-01 07:00:00,68.7
85,2017-01-01 07:05:00,63.9
86,2017-01-01 07:10:00,67.4
87,2017-01-01 07:15:00,67.2
88,2017-01-01 07:20:00,66.6
89,2017-01-01 07:25:00,66.6
90,2017-01-01 07:30:00,66.8
91,2017-01-01 07:35:00,67.4
92,2017-01-01 07:40:00,67.2
93,2017-01-01 07:45:00,67.4
94,2017-01-01 07:50:00,67.4
95,2017-01-01 07:55:00,66.9
96,2017-01-01 08:00:00,67.0
97,2017-01-01 08:05:00,66.8
98,2017-01-01 08:10:00,66.5
99,2017-01-01 08:15:00,67.2
100,2017-01-01 08:20:00,67.4
101,2017-01-01 08:25:00,67.2
102,2017-01-01 08:30:00,66.9
103,2017-01-01 08:35:00,67.1
104,2017-01-01 08:40:00,68.0
105,2017-01-01 08:45:00,68.1
106,2017-01-01 08:50:00,68.2
107,2017-01-01 08:55:00,67.7
108,2017-01-01 09:00:00,67.8
109,2017-01-01 09:05:00,68.0
110,2017-01-01 09:10:00,68.6
111,2017-01-01 09:15:00,68.5
112,2017-01-01 09:20:00,67.9
113,2017-01-01 09:25:00,67.9
114,2017-01-01 09:30:00,68.1
115,2017-01-01 09:35:00,67.8
116,2017-01-01 09:40:00,68.3
117,2017-01-01 09:45:00,68.1
118,2017-01-01 09:50:00,67.4
119,2017-01-01 09:55:00,67.0
120,2017-01-01 10:00:00,60.4
121,2017-01-01 10:05:00,56.9
122,2017-01-01 10:10:00,55.9
123,2017-01-01 10:15:00,54.5
124,2017-01-01 10:20:00,55.2
125,2017-01-01 10:25:00,55.1
126,2017-01-01 10:30:00,54.4
127,2017-01-01 10:35:00,55.3
128,2017-01-01 10:40:00,55.2
129,2017-01-01 10:45:00,54.9
130,2017-01-01 10:50:00,54.9
131,2017-01-01 10:55:00,55.1
132,2017-01-01 11:00:00,53.6
133,2017-01-01 11:05:00,51.9
134,2017-01-01 11:10:00,52.5
135,2017-01-01 11:15:00,51.6
136,2017-01-01 11:20:00,51.4
137,2017-01-01 11:25:00,51.5
138,2017-01-01 11:30:00,51.3
139,2017-01-01 11:35:00,53.5
140,2017-01-01 11:40:00,52.9
141,2017-01-01 11:45:00,52.4
142,2017-01-01 11:50:00,52.8
143,2017-01-01 11:55:00,52.7
144,2017-01-01 12:00:00,53.3
145,2017-01-01 12:05:00,53.0
146,2017-01-01 12:10:00,51.7
147,2017-01-01 12:15:00,50.9
148,2017-01-01 12:20:00,50.8
149,2017-01-01 12:25:00,52.8
150,2017-01-01 12:30:00,50.5
151,2017-01-01 12:35:00,51.5
152,2017-01-01 12:40:00,50.9
